Colname,Conformity,Continent,Label
Linuron|soil|agricultural,Nonconformity,Asia,41
MCPB|soil|agricultural,Nonconformity,Asia,43
Magnesium|soil|industrial,Nonconformity,Asia,42
Mecoprop-P|soil|agricultural,Nonconformity,Asia,44
Mefenpyr-diethyl|soil|agricultural,Marginally acceptable conformity,Asia,45
Mercury II|soil|unspecified,Nonconformity,Asia,46
Metalaxil|soil|agricultural,Marginally acceptable conformity,Asia,47
Metamitron|soil|agricultural,Nonconformity,Asia,48
Nitrogen|soil|industrial,Nonconformity,Asia,49
Oxyfluorfen|soil|agricultural,Nonconformity,Asia,50
Paraquat|soil|agricultural,Nonconformity,Asia,51
Parathion|soil|agricultural,Marginally acceptable conformity,Asia,52
Pendimethalin|soil|agricultural,Nonconformity,Asia,53
Phosphorus|soil|unspecified,Nonconformity,Asia,54
Picoxystrobin|soil|agricultural,Nonconformity,Asia,55
Piperonyl butoxide|soil|agricultural,Nonconformity,Asia,56
Potassium I|soil|unspecified,Nonconformity,Asia,57
Prochloraz|soil|agricultural,Nonconformity,Asia,58
Propargite|soil|agricultural,Nonconformity,Asia,59
Propiconazole|soil|agricultural,Nonconformity,Asia,60
Pyrethrum|soil|agricultural,Nonconformity,Asia,61
Quinmerac|soil|agricultural,Marginally acceptable conformity,Asia,62
Quizalofop-p-ethyl|soil|agricultural,Nonconformity,Asia,63
Scandium|soil|unspecified,Nonconformity,Asia,64
Silicon|soil|unspecified,Nonconformity,Asia,65
Silver I|soil|unspecified,Nonconformity,Asia,66
Strontium II|soil|industrial,Marginally acceptable conformity,Asia,67
Sulfentrazone|soil|agricultural,Nonconformity,Asia,68
Sulfur|soil|industrial,Marginally acceptable conformity,Asia,69
Sulfur|soil|unspecified,Nonconformity,Asia,70
Thallium I|soil|industrial,Nonconformity,Asia,71
Thallium I|soil|unspecified,Nonconformity,Asia,72
Thifensulfuron-methyl|soil|agricultural,Nonconformity,Asia,73
Thiram|soil|agricultural,Nonconformity,Asia,74
Tin ion|soil|unspecified,Nonconformity,Asia,75
Titanium ion|soil|agricultural,Nonconformity,Asia,76
Titanium ion|soil|industrial,Nonconformity,Asia,77
Titanium ion|soil|unspecified,Nonconformity,Asia,78
Trichlorfon|soil|agricultural,Nonconformity,Asia,79
Trifloxystrobin|soil|agricultural,Nonconformity,Asia,80
Trifloxystrobin|soil|forestry,Nonconformity,Asia,81
Trinexapac-ethyl|soil|agricultural,Marginally acceptable conformity,Asia,82
Vanadium V|soil|industrial,Nonconformity,Asia,83
Vanadium V|soil|unspecified,Nonconformity,Asia,84
Zeta-cypermethrin|soil|agricultural,Nonconformity,Asia,85
Zinc II|soil|industrial,Marginally acceptable conformity,Asia,86
